idx;date;rubro;subrubro;detalle;BANCIEN S.A;BANCAMIA;BANCO W S.A.;BANCOOMEVA;BANCO FALABELLA S.A.;BANCO PICHINCHA S.A.;BANCO MUNDO MUJER S.A.;LULO BANK S.A.
113;2021-12-31 00:00:00;PASIVOS;INSTRUMENTOS FINANCIEROS A COSTO AMORTIZADO;OPERACIONES REPO DE CONTRACCIÓN MONETARIA;0;0;0;0;0;0;0;0
114;2021-12-31 00:00:00;PASIVOS;INSTRUMENTOS FINANCIEROS A VALOR RAZONABLE;0;0;0;10.68;0;0;0;0;0
115;2021-12-31 00:00:00;PASIVOS;INSTRUMENTOS FINANCIEROS A VALOR RAZONABLE;CONTRATOS FORWARD - DE NEGOCIACIÓN;0;0;0;0;0;0;0;0
116;2021-12-31 00:00:00;PASIVOS;INSTRUMENTOS FINANCIEROS A VALOR RAZONABLE;CONTRATOS DE FUTUROS – DE NEGOCIACIÓN;0;0;0;0;0;0;0;0
117;2021-12-31 00:00:00;PASIVOS;INSTRUMENTOS FINANCIEROS A VALOR RAZONABLE;SWAPS – DE NEGOCIACIÓN;0;0;0;0;0;0;0;0
118;2021-12-31 00:00:00;PASIVOS;INSTRUMENTOS FINANCIEROS A VALOR RAZONABLE;OPCIONES DE NEGOCIACIÓN;0;0;0;0;0;0;0;0
119;2021-12-31 00:00:00;PASIVOS;INSTRUMENTOS FINANCIEROS A VALOR RAZONABLE;CONTRATOS FORWARD - DE COBERTURA;0;0;0;0;0;0;0;0
120;2021-12-31 00:00:00;PASIVOS;INSTRUMENTOS FINANCIEROS A VALOR RAZONABLE;CONTRATOS DE FUTUROS – DE COBERTURA;0;0;0;0;0;0;0;0
121;2021-12-31 00:00:00;PASIVOS;INSTRUMENTOS FINANCIEROS A VALOR RAZONABLE;SWAPS – DE COBERTURA;0;0;0;0;0;0;0;0
122;2021-12-31 00:00:00;PASIVOS;INSTRUMENTOS FINANCIEROS A VALOR RAZONABLE;OPCIONES DE COBERTURA;0;0;0;0;0;0;0;0
123;2021-12-31 00:00:00;PASIVOS;INSTRUMENTOS FINANCIEROS A VALOR RAZONABLE;TÍTULOS DE INVERSIÓN EN CIRCULACIÓN;0;0;0;0;0;0;0;0
124;2021-12-31 00:00:00;PASIVOS;INSTRUMENTOS FINANCIEROS A VALOR RAZONABLE;OPERACIONES DE CONTADO;0;0;10.68;0;0;0;0;0
125;2021-12-31 00:00:00;PASIVOS;APORTES DE CAPITAL;0;0;0;0;0;0;0;0;0
126;2021-12-31 00:00:00;PASIVOS;CRÉDITOS DE BANCOS Y OTRAS OBLIGACIONES FINANCIERAS;0;0;524802.03;85180.72;74105.94;483079.75;363416.03;217088.01;0
127;2021-12-31 00:00:00;PASIVOS;CRÉDITOS DE BANCOS Y OTRAS OBLIGACIONES FINANCIERAS;BANCO DE LA REPÚBLICA;0;0;0;0;0;0;0;0
128;2021-12-31 00:00:00;PASIVOS;CRÉDITOS DE BANCOS Y OTRAS OBLIGACIONES FINANCIERAS;BANCO DE COMERCIO EXTERIOR (BANCOLDEX);0;66504.16;84889.09;29264.6;0;106747.9;134397.54;0
129;2021-12-31 00:00:00;PASIVOS;CRÉDITOS DE BANCOS Y OTRAS OBLIGACIONES FINANCIERAS;FONDOS DE GARANTÍAS;0;0;0;0;0;0;0;0
130;2021-12-31 00:00:00;PASIVOS;CRÉDITOS DE BANCOS Y OTRAS OBLIGACIONES FINANCIERAS;FINAGRO;0;38109.81;291.63;0;0;0;0;0
131;2021-12-31 00:00:00;PASIVOS;CRÉDITOS DE BANCOS Y OTRAS OBLIGACIONES FINANCIERAS;FINDETER;0;0;0;44546.55;0;75622.06;0;0
